test,group,n,beta_k_median,beta_k_lo,beta_k_hi,pct_negative
T1_regime,leverage,27,-0.18396665069769486,-0.35217793359893806,-0.011302329636776342,0.978
T1_regime,mania,42,-0.19193165141661922,-0.3712569830788202,0.016792052655823186,0.968
T2_correlation,metric_h,54,-0.33295216314084236,,,0.013890756898983492
T2_correlation,metric_m,49,-0.20306122448979588,,,0.16170452689121528
T2_correlation,metric_i,54,-0.08054126167333713,,,0.5626241918283992
T2_correlation,metric_g,54,-3.811701924909472e-05,,,0.9997817406618528
T2_correlation,metric_j,54,0.036401753382885454,,,0.7938421803072226
T2_correlation,metric_l,54,0.11681916976473844,,,0.40021281399378433
T2_correlation,metric_n,54,0.1688965122927387,,,0.2221301150931329
T3_pre_post_2005,post,428,-0.2805833065783246,-0.3870601432334453,-0.16255864158490108,1.0
T3_pre_post_2005,mixed,572,-0.2920625902858319,-0.4044948943522053,-0.19507501971732702,1.0
